"subject","activity","means of means","means of standard deviation"
1,"WALKING",-0.345186181811849,0.463349281659714
2,"STANDING",-0.637472363299492,0.530131137599718
3,"WALKING",-0.367552102268889,0.466451891563078
4,"STANDING",-0.634952423646371,0.529893231674133
5,"WALKING",-0.367375277648398,0.465926220737358
6,"WALKING",-0.358612063189727,0.463792556436144
7,"WALKING",-0.367791277059913,0.467145063197091
8,"WALKING",-0.382634472184359,0.472110718629628
8,"WALKING_UPSTAIRS",-0.379488544548498,0.475883885321845
9,"STANDING",-0.637404307046221,0.53058209619648
10,"LAYING",-0.63280668543222,0.538444142668667
10,"STANDING",-0.639271327884243,0.533140908813333
11,"WALKING_UPSTAIRS",-0.392136940246807,0.476001430689603
12,"LAYING",-0.639135967184926,0.53996603310483
13,"LAYING",-0.629442288243502,0.539391056970142
14,"WALKING_UPSTAIRS",-0.402989855955614,0.478523255091581
15,"WALKING_UPSTAIRS",-0.401995796423446,0.481812615602757
16,"WALKING_UPSTAIRS",-0.390007193939205,0.481734938461982
17,"WALKING_DOWNSTAIRS",-0.2761512330025,0.470139169928563
17,"WALKING_UPSTAIRS",-0.414108408553265,0.474201655778803
18,"LAYING",-0.627571103049871,0.539726544771497
19,"WALKING_DOWNSTAIRS",-0.309899314299842,0.473007746096693
20,"LAYING",-0.630184176194116,0.540830328589768
21,"WALKING_DOWNSTAIRS",-0.310594260092418,0.472520620271949
22,"SITTING",-0.63403466628935,0.533543912099516
22,"WALKING_DOWNSTAIRS",-0.315758175928704,0.474670133283448
23,"SITTING",-0.637018260458969,0.533415305719661
24,"LAYING",-0.637830240414272,0.536710145535888
25,"SITTING",-0.640960096770334,0.533670165253692
26,"SITTING",-0.637921224906598,0.536350028178084
27,"SITTING",-0.638706276118019,0.533594570233413
28,"SITTING",-0.638423399534118,0.533762949115483
28,"STANDING",-0.641658788453993,0.536802575620667
29,"STANDING",-0.635567280150904,0.530297190196365
30,"STANDING",-0.634848332297834,0.528581408394964
